"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Electronics","Tonnes","287","units","0","v1331406716","1.6.4","851","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Major appliances","Tonnes","287","units","0","v1331406717","1.6.5","214","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406718","1.6.6","2555","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Packaging","Tonnes","287","units","0","v1331406719","1.6.7","16468","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Bottles","Tonnes","287","units","0","v1331406720","1.6.8","3056","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Film","Tonnes","287","units","0","v1331406721","1.6.9","7792","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Non-bottle rigid","Tonnes","287","units","0","v1331406722","1.6.10","4861","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Other packaging products","Tonnes","287","units","0","v1331406723","1.6.11","759","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Agriculture film","Tonnes","287","units","0","v1331406724","1.6.12","341","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Textiles","Tonnes","287","units","0","v1331406725","1.6.13","2331","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Vehicles","Tonnes","287","units","0","v1331406726","1.6.14","3680","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Other products","Tonnes","287","units","0","v1331406727","1.6.15","8572","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Total, all product categories","Tonnes","287","units","0","v1331406728","1.7.1","4282879","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Construction materials","Tonnes","287","units","0","v1331406729","1.7.2","155443","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Electrical and electronic equipment","Tonnes","287","units","0","v1331406730","1.7.3","396316","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Electronics","Tonnes","287","units","0","v1331406731","1.7.4","95677","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Major appliances","Tonnes","287","units","0","v1331406732","1.7.5","24104","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406733","1.7.6","276535","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Packaging","Tonnes","287","units","0","v1331406734","1.7.7","1852624","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Bottles","Tonnes","287","units","0","v1331406735","1.7.8","343791","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Film","Tonnes","287","units","0","v1331406736","1.7.9","876628","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Non-bottle rigid","Tonnes","287","units","0","v1331406737","1.7.10","546824","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Other packaging products","Tonnes","287","units","0","v1331406738","1.7.11","85381","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Agriculture film","Tonnes","287","units","0","v1331406739","1.7.12","38398","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Textiles","Tonnes","287","units","0","v1331406740","1.7.13","262250","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Vehicles","Tonnes","287","units","0","v1331406741","1.7.14","473097","","","","0"
"2012","Canada","2021A000011124","Collected plastic sent directly for disposal or diversion","Other products","Tonnes","287","units","0","v1331406742","1.7.15","1104751","","","","0"
